S.No,Emp Number,Employe Name,Designation,Department,Date of Birth,Profile
1,10001,AAA,Sales Manager,Sales,23-06-2021,pic1.jpg
2,10002,BBB,Solutions Expert,Solutions,25-06-2021,pic1.jpg
3,10003,CCC,Cloud Specialist,Cloud,28-06-2021,pic1.jpg
4,10004,DDD,Product Manager,Product,29-06-2021,pic1.jpg
5,10005,EEE,S/W Engineer,Development,29-06-2021,pic1.jpg
6,10006,FFF,Sales Manager,Sales,30-06-2021,pic1.jpg
7,10007,GGG,Solutions Expert,Solutions,03-07-2021,pic1.jpg
8,10008,HHH,Cloud Specialist,Cloud,06-07-2021,pic1.jpg
9,10009,III,Product Manager,Product,09-07-2021,pic1.jpg
10,10010,JJJ,S/W Engineer,Development,10-07-2021,pic1.jpg
11,10011,KKK,Tech Lead,Development,11-07-2021,pic1.jpg
